Slide Lot,Intensity,RPMI,Cell Line,Conjugate,Configuration
2120100,73,Yes,2113903,2122300,14
2120100,62,Yes,2113903,2122300,14
2120100,63,Yes,2113903,2122300,14
2120100,69,Yes,2113903,2122300,14
2120100,73,Yes,2113903,2122300,14
2120100,82,Yes,2113903,2122300,14
2121700,66,Yes,2113903,2122300,14
2121700,44,Yes,2113903,2122300,14
2121700,35,Yes,2113903,2122300,14
2121700,51,Yes,2113903,2122300,14
2121700,63,Yes,2113903,2122300,14
2121700,66,Yes,2113903,2122300,14
2121700,56,Yes,2113903,2122300,14
2121700,65,Yes,2113903,2122300,14
2121700,36,Yes,2113903,2122300,14
2121700,31,Yes,2113903,2122300,14
2121700,42,Yes,2113903,2122300,14
2121700,51,Yes,2113903,2122300,14
2121700,60,Yes,2113903,2122300,14
2121700,39,Yes,2113903,2122300,14
2121700,41,Yes,2113903,2122300,14
2121700,40,Yes,2113903,2122300,14
2121700,32,Yes,2113903,2122300,14
2121700,38,Yes,2113903,2122300,14
2121700,67,Yes,2113903,2122300,14
2121700,51,Yes,2113903,2122300,14
2121700,38,Yes,2113903,2122300,14
2121700,46,Yes,2113903,2122300,14
2121700,40,Yes,2113903,2122300,14
2121700,37,Yes,2113903,2122300,14
2121700,46,Yes,2113903,2122300,14
2121700,54,Yes,2113903,2122300,14
2121700,33,Yes,2113903,2122300,14
2121700,42,Yes,2113903,2122300,14
2121700,34,Yes,2113903,2122300,14
2121700,33,Yes,2113903,2122300,14
2121700,42,Yes,2113903,2122300,14
2121700,48,Yes,2113903,2122300,14
2121700,44,Yes,2113903,2122300,14
2121700,38,Yes,2113903,2122300,14
2121700,55,Yes,2113903,2122300,14
2121700,35,Yes,2113903,2122300,14
2121700,32,Yes,2113903,2122300,14
2121700,40,Yes,2113903,2122300,14
2121700,38,Yes,2113903,2122300,14
2121700,56,Yes,2113903,2122300,14
2121700,44,Yes,2113903,2122300,14
2121700,40,Yes,2113903,2122300,14
2121700,40,Yes,2113903,2122300,14
2121700,36,Yes,2113903,2122300,14
2121700,61,Yes,2113903,2122300,14
2121700,61,Yes,2113903,2122300,14
